Problem Name,Leetcode No
Two Sum II,167
Container With Most Water,11
3Sum,15
Squares of Sorted Array,977
Boats to Save People,881
Intersection of Two Arrays,349
3Sum Closest,16
3Sum Smaller,259
Linked List Cycle,141
Happy Number,202
Find the Duplicate Number,287
Is Subsequence,392
Middle of the Linked List,876
Reverse String,344
Reverse Words in a String,151
Reverse Vowels of a String,345
Reverse String II,541
Palindrome Number,9
Maximum Average Subarray I,643
Moving Average from Data Stream,346
Longest Substring Without Repeating Characters,3
Minimum Window Substring,76
Fruit Into Baskets,904
Contains Duplicate II,219
Max Consecutive Ones III,1004
Minimum Size Subarray Sum,209
Subarray Product Less Than K,713
Longest Repeating Character Replacement,424
Longest Continuous Subarray With Limit,1438
Minimum Operations to Reduce X to Zero,1658
Two Sum,1
Permutation in String,567
Find All Anagrams in a String,438
Valid Anagram,242
Frequency of the Most Frequent Element,1838
Maximum Sum of Distinct Subarrays,2461
Binary Search,704
Search Insert Position,35
First Bad Version,278
Guess Number Higher or Lower,374
Sqrt(x),69
Search a 2D Matrix,74
Search in Rotated Sorted Array,33
Find Minimum in Rotated Sorted Array,153
Find Peak Element,162
Single Element in Sorted Array,540
Koko Eating Bananas,875
Capacity To Ship Packages Within D Days,1011
Minimum Days to Make m Bouquets,1482
Split Array Largest Sum,410
Minimized Maximum of Products,2064
Maximum Candies Allocated to K Children,2226
Peak Index in a Mountain Array,852
Reverse Linked List,206
Reverse Linked List II,92
Palindrome Linked List,234
Remove Duplicates from Sorted List,83
Odd Even Linked List,328
Reorder List,143
Swap Nodes in Pairs,24
Valid Parentheses,20
Minimum Remove to Make Valid Parentheses,1249
Longest Valid Parentheses,32
Minimum Add to Make Parentheses Valid,921
Next Greater Element I,496
Daily Temperatures,739
Online Stock Span,901
Remove K Digits,402
Largest Rectangle in Histogram,84
Binary Tree Level Order Traversal,102
Binary Tree Zigzag Level Order Traversal,103
Binary Tree Right Side View,199
Same Tree,100
Invert Binary Tree,226
Maximum Depth of Binary Tree,104
Diameter of Binary Tree,543
Balanced Binary Tree,110
Binary Tree Paths,257
Lowest Common Ancestor BST,235
Lowest Common Ancestor Binary Tree,236
Largest Value in Each Tree Row,515
Maximum Level Sum of Binary Tree,1161
Binary Tree Postorder Traversal,145
Number of Islands,200
Max Area of Island,695
Flood Fill,733
Number of Provinces,547
Keys and Rooms,841
Surrounded Regions,130
Pacific Atlantic Water Flow,417
Number of Enclaves,1020
Count Sub Islands,1905
Rotting Oranges,994
Shortest Path in Binary Matrix,1091
Course Schedule,207
Course Schedule II,210
Find Eventual Safe States,802
Kth Largest Element in an Array,215
Top K Frequent Elements,347
K Closest Points to Origin,973
Kth Largest Element in a Stream,703
Last Stone Weight,1046
Meeting Rooms II,253
Merge Intervals,56
Insert Interval,57
Interval List Intersections,986
Jump Game II,45
Jump Game,55
Gas Station,134
Task Scheduler,621
Queue Reconstruction by Height,406
Assign Cookies,455
Climbing Stairs,70
House Robber,198
House Robber II,213
Maximum Subarray,53
Maximum Product Subarray,152
Partition Equal Subset Sum,416
Coin Change,322
Coin Change II,518
Min Cost Climbing Stairs,746
Fibonacci Number,509
Delete and Earn,740
Decode Ways,91
Unique Paths,62
Minimum Path Sum,64
Triangle,120
Network Delay Time,743
Swim in Rising Water,778
Path With Minimum Effort,1631
Redundant Connection,684
Accounts Merge,721
Cheapest Flights Within K Stops,787
Alien Dictionary,269
Minimum Height Trees,310
Clone Graph,133
Clone N-ary Tree,1490
Letter Combinations of a Phone Number,17
Combinations,77
Subsets,78
Subsets II,90
Permutations,46
Permutation Sequence,60
Combination Sum,39
Combination Sum II,40
Generate Parentheses,22
Word Search,79
Word Search II,212
N-Queens,51
LRU Cache,146
Min Stack,155
Find Median from Data Stream,295
Time Based Key-Value Store,981
Insert Delete GetRandom O(1),380
Design HashMap,706
Design Circular Queue,622
Implement Trie (Prefix Tree),208
Design Add and Search Words,211
Longest Common Subsequence,1143
Minimum Insertion Steps to Make a String Palindrome,1312
Edit Distance,72
Longest Increasing Subsequence,300
Russian Doll Envelopes,354
Maximum Sum Circular Subarray,918
Maximal Square,221
Minimum Falling Path Sum,931
Unique Binary Search Trees II,95
Unique Binary Search Trees,96
